Bug ID,Component,Severity,Priority,OS,Assignee
1056438,Session Restore,critical, --,Windows 7,mconley
1066683,Extension Compatibility,major, --,All,nobody
1067615,Extension Compatibility,normal, --,Windows 8.1,nobody
1080055,Tabbed Browser,normal, --,Linux,dtownsend
1083140,Developer Tools: WebIDE,normal,P3,Linux,jmaher
1095236,General,normal, --,All,mconley
1100955,Extension Compatibility,normal, --,All,nobody
1104054,Device Permissions,normal, --,All,florian
1107969,Session Restore,normal,P3,Linux,mdeboer
1108302,Preferences,normal,P1,Mac OS X,jaws
1114299,General,normal, --,All,mconley
1118974,Developer Tools: WebIDE,normal, --,Linux,jryans
1130411,Preferences,normal, --,Windows 8.1,gijskruitbosch+bugs
1133569,General,normal, --,Mac OS X,enndeakin
1135508,Preferences,normal, --,All,gioyik
1148086,Developer Tools: Style Editor,normal, --,All,sjakthol
1150206,Developer Tools: Netmonitor,normal,P5,Linux,nobody
1159672,Search,minor, --,Unspecified,nobody
1163024,Developer Tools: Netmonitor,normal, --,Unspecified,past
1163212,Developer Tools: Debugger,normal, --,Windows 8,matt.woodrow
1164569,Security,normal, --,Windows 10,pollti
1166013,General,normal,P5,Linux,mrbkap
1168398,Search,normal, --,Linux,nobody
1169860,Developer Tools: Framework,normal, --,Unspecified,nobody
1177324,Developer Tools: Console,normal, --,Unspecified,nchevobbe
1179395,General,major,P2,Windows 10,gijskruitbosch+bugs
1179542,Menus,normal,P3,Unspecified,michael
1181961,Preferences,normal, --,Unspecified,nobody
1182982,General,normal, --,Unspecified,nobody
1186732,Extension Compatibility,normal, --,Unspecified,bobbyholley
1194903,PDF Viewer,normal,P3,Unspecified,nobody
1200730,Developer Tools: Performance Tools (Profiler/Timeline),normal, --,Linux,nobody
1202628,Developer Tools: Performance Tools (Profiler/Timeline),normal, --,Unspecified,nobody
1241357,PDF Viewer,normal, --,Unspecified,nobody
1245728,Sync,normal, --,Unspecified,nobody
1246522,Developer Tools: Inspector,normal, --,Unspecified,jryans
1250980,Search,normal, --,All,mak77
1253227,Bookmarks & History,normal, --,Unspecified,ayx002
1268738,Developer Tools: Inspector,normal,P2,All,moz-ian
1269462,Toolbars and Customization,normal, --,Mac OS X,gijskruitbosch+bugs
1270840,Activity Streams: Newtab,normal, --,All,nobody
1271875,Untriaged,normal, --,Other,nobody
1273521,Location Bar,normal, --,Unspecified,nobody
1282168,Tabbed Browser,normal, --,Linux,nobody
1283329,Location Bar,normal,P1,Linux,mak77
1283909,General,normal, --,Windows 10,kbroida
1287292,Untriaged,critical, --,Unspecified,erahm
1307776,Untriaged,normal, --,Unspecified,nobody
1313778,Extension Compatibility,normal,P3,Unspecified,nobody
1327691,Developer Tools: CSS Rules Inspector,normal,P3,Unspecified,3ugzilla
1328737,Sync,normal,P1,Unspecified,tchiovoloni
1341227,Theme,normal, --,Mac OS X,nobody
1367051,Theme,normal, --,Windows 7,nobody
