Bug ID,Component,Severity,Priority,OS,Assignee
264183,General,normal, --,Linux,bugzilla
264187,General,normal, --,Windows 2000,bugzilla
264190,General,normal, --,Windows 2000,bugzilla
264195,General,normal, --,Windows XP,bugzilla
264237,General,normal, --,Mac OS X,bugzilla
264255,General,normal, --,Linux,bugzilla
264260,Shell Integration,critical, --,Windows XP,doronr
264307,Location Bar,minor, --,Windows XP,bugs
264338,General,major, --,All,bugzilla
264350,General,minor, --,All,bugzilla
264390,General,normal, --,Windows 2000,bugzilla
264391,General,normal, --,Linux,bugzilla
264401,General,normal, --,Windows XP,bugzilla
264448,Shell Integration,minor, --,Linux,bugs
264503,General,normal, --,Linux,bugzilla
264504,General,major, --,Windows 2000,bugzilla
264535,Tabbed Browser,normal, --,All,bugs
264550,General,normal, --,Windows XP,bugzilla
264551,General,normal, --,Linux,bugzilla
264555,General,normal, --,Windows XP,bugzilla
264575,General,normal, --,Windows XP,bugzilla
264672,General,critical, --,Linux,bugzilla
264673,Preferences,normal, --,Linux,bugzilla
264674,General,critical, --,FreeBSD,bugzilla
264685,General,critical, --,Windows XP,bugzilla
264694,General,trivial, --,All,bugzilla
264703,General,normal, --,Windows 98,bugzilla
264874,General,critical, --,Windows XP,bugzilla
264894,General,normal, --,Windows XP,bugzilla
264902,General,major, --,Windows XP,bugzilla
264909,General,critical, --,Windows 98,bugzilla
264976,General,normal, --,Windows XP,bugzilla
265026,General,critical, --,Windows 2000,bugzilla
265038,General,normal, --,Windows 2000,bugzilla
265136,General,major, --,Linux,bugzilla
265155,General,normal, --,Mac OS X,bugzilla
265180,General,critical, --,Windows NT,bugzilla
265187,Bookmarks & History,normal, --,Windows XP,vladimir+bm
265214,General,normal, --,Windows XP,bugzilla
265217,General,normal, --,Windows XP,bugzilla
265235,General,major, --,Windows XP,bugzilla
265258,General,normal, --,Windows XP,bugzilla
265273,General,critical, --,Windows 2000,bugzilla
265299,General,normal, --,Windows XP,bugzilla
265317,General,critical, --,Windows XP,bugzilla
265323,General,major, --,Windows ME,bugzilla
265344,Tabbed Browser,normal, --,Windows XP,bugs
265346,General,normal, --,Windows XP,bugzilla
265428,Bookmarks & History,normal, --,Windows XP,vladimir+bm
265458,General,critical, --,Windows XP,bugzilla
265482,Bookmarks & History,normal, --,Windows XP,vladimir+bm
265483,General,critical, --,Windows XP,bugzilla
265506,General,major, --,Windows XP,bugzilla
265514,Bookmarks & History,normal, --,Windows XP,vladimir+bm
265549,File Handling,normal, --,Windows 2000,bugs
265559,General,major, --,Linux,bugzilla
265588,General,major, --,Linux,bugzilla
265592,General,critical, --,Windows XP,bugzilla
265633,General,normal, --,Linux,bugzilla
265634,General,normal, --,Windows 2000,bugzilla
265669,General,normal, --,Linux,bugzilla
265673,General,critical, --,Other,printing
265710,General,minor, --,Linux,bugzilla
265724,General,normal, --,Linux,bugzilla
265795,General,critical, --,Windows XP,bugzilla
265843,General,normal, --,Windows XP,bugzilla
265870,Bookmarks & History,normal, --,Windows 98,vladimir+bm
265890,General,major, --,Linux,bugzilla
265904,General,normal, --,Linux,bugzilla
265908,General,normal, --,Windows XP,bugzilla
265920,Bookmarks & History,normal, --,Windows XP,vladimir+bm
266054,General,normal, --,Windows 2000,bugzilla
266135,General,minor, --,Windows XP,bugzilla
266145,General,normal, --,Windows XP,bugzilla
266152,General,trivial, --,Windows XP,bugzilla
266155,General,critical, --,Windows 2000,bugzilla
266167,General,normal, --,Windows XP,general
266170,General,major, --,Windows XP,bugzilla
266240,General,normal, --,Windows 2000,bugzilla
266264,General,normal, --,Windows XP,bugzilla
266294,General,critical, --,Windows XP,bugzilla
266308,General,minor, --,Windows 2000,bugzilla
266363,General,normal, --,Windows XP,bugzilla
266370,Tabbed Browser,normal, --,Windows XP,bugs
266376,General,minor, --,Windows Server 2003,bugzilla
266383,Shell Integration,trivial, --,Mac OS X,bugs
266405,General,normal, --,Windows 2000,bugzilla
266415,General,normal, --,Windows 2000,bugzilla
266420,Bookmarks & History,normal, --,Windows XP,vladimir+bm
266438,General,normal, --,Windows XP,bugzilla
266451,Migration,normal, --,Windows 2000,general
266464,General,normal, --,Windows XP,bugzilla
266472,File Handling,normal, --,Linux,bugs
266479,General,major, --,Windows NT,bugzilla
266480,Shell Integration,minor, --,Linux,bugs
266491,General,normal, --,Mac OS X,bugzilla
266501,General,critical, --,Linux,bugzilla
266520,General,normal, --,Windows XP,bugzilla
266523,General,normal, --,Windows XP,bugzilla
266527,General,normal, --,Windows XP,bugzilla
266562,General,normal, --,Windows XP,bugzilla
266574,General,normal, --,Linux,bugzilla
266577,General,major, --,Mac OS X,bugzilla
266586,General,normal, --,Windows NT,bugzilla
266605,Preferences,minor, --,Windows NT,bugzilla
266647,Shell Integration,normal, --,Windows XP,bugs
266668,General,normal, --,Windows XP,bugzilla
266672,General,major, --,Windows 2000,bugzilla
266710,Location Bar,normal, --,Windows XP,bugs
266720,General,major, --,Windows XP,bugzilla
266721,General,normal, --,Mac OS X,bugzilla
266730,General,normal, --,Windows XP,bugzilla
266766,General,minor, --,Windows XP,bugzilla
266779,General,trivial, --,Windows XP,bugzilla
266796,General,normal, --,Windows XP,bugzilla
266799,General,normal, --,Windows XP,bugzilla
266815,General,normal, --,Windows XP,bugzilla
266863,General,major, --,Windows 2000,bugzilla
266929,General,normal, --,Linux,bugzilla
266946,General,minor, --,Windows XP,bugzilla
266980,General,minor, --,Windows XP,bugzilla
266983,Shell Integration,normal, --,FreeBSD,bugzilla
266997,Search,minor, --,Windows XP,p_ch
266998,General,critical, --,Linux,bugzilla
