Bug ID,Component,Severity,Priority,OS,Assignee
261330,General,minor,P3,Windows XP,bugzilla
261412,General,normal,P3,Windows XP,bugzilla
261444,General,normal,P3,Windows 2000,bugzilla
261500,General,normal,P3,Windows XP,bugzilla
261533,General,normal,P3,Windows XP,bugzilla
261536,General,normal,P3,Windows 2000,bugzilla
261595,General,normal,P3,Windows XP,bugzilla
261648,General,normal,P3,Windows XP,bugzilla
261688,General,normal,P3,Windows ME,bugzilla
261732,Tabbed Browser,normal,P3,Linux,bugs
261755,Shell Integration,normal,P3,Linux,bugs
261774,General,critical,P3,Linux,bugzilla
261782,General,normal,P3,Windows XP,general
261805,General,critical,P3,Linux,bugzilla
261809,General,minor,P3,Windows 2000,bugzilla
261848,General,normal,P3,Windows 2000,bugzilla
261893,General,minor,P3,Windows 98,bugzilla
261895,General,critical,P3,Linux,bugzilla
261935,General,normal,P3,Windows XP,bugzilla
261943,General,normal,P3,Windows ME,general
261955,Disability Access,normal,P3,Linux,aaronlev
261976,General,normal,P3,Windows 2000,general
262035,General,major,P3,Windows XP,bugzilla
262105,General,normal,P3,Windows XP,bugzilla
262150,General,normal,P3,Windows XP,bugzilla
262158,General,major,P3,Linux,bugzilla
262200,General,normal,P3,Windows XP,bugzilla
262214,General,normal,P3,Linux,bugzilla
262233,General,major,P3,Windows XP,bugzilla
262291,General,trivial,P3,Windows 2000,bugzilla
262514,General,normal,P3,Linux,bugzilla
262615,General,critical,P3,Windows ME,bugzilla
262638,General,trivial,P3,Windows XP,bugzilla
262697,General,normal,P3,Windows XP,bugzilla
262788,Migration,critical,P3,Windows 2000,bugs
262813,Tabbed Browser,normal,P3,SunOS,bugs
262837,General,normal,P3,Linux,bugzilla
262849,General,normal,P3,Windows XP,bugzilla
262950,Bookmarks & History,major,P3,Windows 2000,vladimir+bm
262958,Search,major,P3,Windows XP,p_ch
262994,General,minor,P3,Linux,bugzilla
263068,General,normal,P3,Windows 98,bugzilla
263085,General,normal,P3,Windows XP,bugzilla
263110,File Handling,major,P3,Windows XP,bugs
263125,Shell Integration,normal,P3,Windows 98,bugs
263184,General,major,P3,Mac OS X,bugzilla
263237,General,normal,P3,Windows XP,bugzilla
263256,General,major,P3,Linux,bugzilla
263278,Bookmarks & History,normal,P3,Windows 2000,vladimir+bm
